Province,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Nusa Tenggara Timur,4.2,14.2,15.0,15.0,20.3,40.5,96.8,159.6,238.0,320.7,414.9
Kalimantan Barat,1.3,1.3,1.6,15.1,24.3,43.8,88.3,140.9,209.2,282.4,366.4
Gorontalo,0.7,4.7,9.7,9.7,19.7,19.7,35.7,65.4,128.8,218.6,343.3
Sumatera Selatan,1.1,1.1,1.1,12.8,20.0,35.8,71.7,114.1,169.3,228.5,296.6
Nusa Tenggara Barat,4.7,4.9,25.2,90.2,90.2,90.2,90.2,112.3,167.2,225.4,292.0
Sulawesi Barat,0.5,0.5,0.5,2.4,9.8,23.3,60.5,100.7,150.4,202.6,261.8
Jambi,1.0,1.0,3.0,7.1,13.6,27.1,60.7,98.6,146.7,197.9,256.3
Kalimantan Timur,1.6,1.9,2.0,8.4,15.3,27.7,56.1,89.3,132.5,178.9,232.1
Sumatera Utara,16.0,17.7,57.7,57.7,57.7,57.7,57.7,86.2,128.0,176.2,224.1
Sulawesi Tengah,1.4,1.4,11.4,11.4,31.4,31.4,52.7,86.2,128.4,173.1,224.1
Kalimantan Tengah,0.8,1.1,1.1,6.7,13.4,23.7,52.5,85.0,126.5,170.6,221.1
Papua,7.8,8.2,19.4,19.4,39.4,39.4,50.7,84.2,125.7,169.3,218.8
Sulawesi Tenggara,1.9,2.4,9.6,9.6,10.5,21.6,49.7,81.9,122.1,164.6,212.9
Aceh,0.8,0.8,2.8,6.2,12.7,22.5,50.2,81.3,121.0,163.2,211.4
Maluku Utara,4.5,4.6,9.6,9.6,9.7,18.9,47.3,78.3,116.8,157.3,203.5
Jawa Tengah,0.4,0.4,0.4,6.7,12.3,22.1,44.6,71.7,106.6,143.8,186.4
Jawa Timur,0.5,0.6,3.4,7.7,13.2,23.1,44.9,71.7,106.4,143.6,186.4
Sulawesi Selatan,3.9,7.0,8.1,8.1,11.5,21.2,43.8,70.8,105.2,142.0,184.0
Maluku,5.0,5.3,10.3,15.3,15.3,17.6,41.9,69.6,103.8,139.9,180.8
Papua Barat,1.8,4.1,4.1,5.0,15.0,19.0,39.8,64.6,96.1,129.5,167.8
Jawa Barat,0.3,0.3,0.4,6.8,11.5,20.2,39.3,62.7,93.1,125.6,163.0
Kalimantan Selatan,1.9,3.9,3.9,4.8,9.7,18.1,38.0,61.5,91.5,123.5,160.0
Bengkulu,0.6,0.7,0.7,3.1,8.2,16.5,37.3,61.2,91.3,123.0,159.2
Sumatera Barat,1.7,2.0,2.9,4.6,9.3,17.2,35.9,58.1,86.4,116.6,151.0
Lampung,1.3,1.6,1.6,2.1,6.5,13.5,31.3,51.6,77.0,103.8,134.3
Kepulauan Riau,1.1,1.1,1.1,5.8,9.5,16.5,31.5,50.2,74.4,100.5,130.4
Sulawesi Utara,3.8,3.8,3.8,3.8,5.6,11.5,26.5,43.7,65.1,87.8,113.6
Bangka Belitung,1.6,1.6,3.6,3.6,5.9,11.7,25.9,42.4,63.2,85.2,110.3
Bali,4.4,7.5,8.2,8.2,8.2,108.2,108.2,108.2,108.2,108.2,108.2
Kalimantan Utara,0.4,0.6,0.6,3.6,6.6,12.0,24.3,39.1,58.1,78.5,101.7
Banten,0.2,0.2,0.3,2.1,5.1,10.0,22.2,36.3,54.0,72.9,94.3
Riau,0.9,1.0,1.0,1.0,4.1,9.0,21.8,36.2,54.1,72.8,94.2
DI. Yogyakarta,0.1,0.1,1.0,1.1,3.7,8.0,18.9,31.3,46.8,63.0,81.5
Jakarta,0.2,0.2,0.3,0.3,0.7,1.4,3.2,5.3,7.9,10.7,13.8
